diagnosis_code,diagnosis_description,label,2018-19,2019-20,2020-21,2021-22,2022-23,baseline,total_all_years,pct_change_2018-19,pct_change_2019-20,pct_change_2020-21,pct_change_2021-22,pct_change_2022-23,lockdown_pct_change,recovery_pct_change
J22,Unspecified acute lower respiratory infection,J22 – Unspecified acute lower respiratory infection,122075.0,129638.0,46190.0,85494.0,97157.0,122075.0,480554.0,0.0,6.195371697726808,-62.16260495596969,-29.96600450542699,-20.41204177759574,-62.16260495596969,-20.41204177759574
B34,Viral infection of unspecified site,B34 – Viral infection of unspecified site,112735.0,101034.0,43865.0,93164.0,78487.0,112735.0,429285.0,0.0,-10.379207876879407,-61.09016720628021,-17.36018095533774,-30.37920787687941,-61.09016720628021,-30.37920787687941
J18,"Pneumonia, organism unspecified","J18 – Pneumonia, organism unspecified",245401.0,262744.0,131821.0,174030.0,203848.0,245401.0,1017844.0,0.0,7.0672083650840865,-46.28342997787295,-29.083418567976494,-16.93269383580344,-46.28342997787295,-16.93269383580344
J44,Other chronic obstructive pulmonary disease,J44 – Other chronic obstructive pulmonary disease,127994.0,130347.0,72033.0,99926.0,105802.0,127994.0,536102.0,0.0,1.8383674234729752,-43.72158069909527,-21.92915292904355,-17.338312733409378,-43.72158069909527,-17.338312733409378
A41,Other sepsis,A41 – Other sepsis,136623.0,125537.0,86855.0,100389.0,99943.0,136623.0,549347.0,0.0,-8.114299934857234,-36.42724870629396,-26.52115675984278,-26.847602526660957,-36.42724870629396,-26.847602526660957
L03,Cellulitis,L03 – Cellulitis,89436.0,92983.0,64023.0,74216.0,79441.0,89436.0,400099.0,0.0,3.9659644885728342,-28.414732322554677,-17.017755713582897,-11.175589248177468,-28.414732322554677,-11.175589248177468
N39,Other disorders of urinary system,N39 – Other disorders of urinary system,158697.0,155001.0,116326.0,129428.0,121858.0,158697.0,681310.0,0.0,-2.328966521106259,-26.699307485333687,-18.443322810135037,-23.213419283288278,-26.699307485333687,-23.213419283288278
R10,Abdominal and pelvic pain,R10 – Abdominal and pelvic pain,246009.0,243692.0,202375.0,221007.0,205452.0,246009.0,1118535.0,0.0,-0.9418354613042612,-17.73674946851538,-10.16304281550675,-16.485982220162676,-17.73674946851538,-16.485982220162676
R07,Pain in throat and chest,R07 – Pain in throat and chest,253904.0,252190.0,223810.0,249671.0,221209.0,253904.0,1200784.0,0.0,-0.6750582897473061,-11.852511185329888,-1.6671655428823493,-12.876914109269645,-11.852511185329888,-12.876914109269645
M79,"Other soft tissue disorders, not elsewhere classified","M79 – Other soft tissue disorders, not elsewhere classified",79789.0,82908.0,73088.0,94555.0,86491.0,79789.0,416831.0,0.0,3.9090601461354324,-8.39840078206269,18.506310393663288,8.399654087656193,-8.39840078206269,8.399654087656193
I21,Acute myocardial infarction,I21 – Acute myocardial infarction,74331.0,75923.0,71499.0,78239.0,74035.0,74331.0,374027.0,0.0,2.141771266362621,-3.809985066795819,5.257564138784626,-0.39821877816792456,-3.809985066795819,-0.39821877816792456
I50,Heart failure,I50 – Heart failure,75584.0,82632.0,73202.0,87475.0,83856.0,75584.0,402749.0,0.0,9.324724809483488,-3.1514606265876375,15.732165537679933,10.944115156646909,-3.1514606265876375,10.944115156646909
S72,Fracture of femur,S72 – Fracture of femur,70494.0,73612.0,68294.0,71505.0,74187.0,70494.0,358092.0,0.0,4.4230714670752125,-3.120832978693222,1.4341646097540217,5.238743722870032,-3.120832978693222,5.238743722870032
R29,Other symptoms and signs involving the nervous and musculoskeletal systems,R29 – Other symptoms and signs involving the nervous and musculoskeletal systems,75287.0,78970.0,76806.0,85933.0,77631.0,75287.0,394627.0,0.0,4.89194681684753,2.0176126024413246,14.140555474384687,3.1134193154196605,2.0176126024413246,3.1134193154196605
I63,Cerebral infarction,I63 – Cerebral infarction,64769.0,68244.0,67122.0,70937.0,71138.0,64769.0,342210.0,0.0,5.365221016226899,3.632910806095509,9.523074310241011,9.833407957510538,3.632910806095509,9.833407957510538
